% Model:              Fundamental_Focused_Aluminum_Electrodes_300nm_3.4MHz_to_4.2MHz_1kHz_Stepping_Mechanical_Damping_Used_1e-3_1cm_Diam_Electrodes.mph
% Version:            COMSOL 5.0.1.276
% Date:               Feb 17 2021, 11:02
% Table:              Table 7 - Global Evaluation 1 (es2.Y11)
% freq (Hz)              20*log10(abs((1/es2.Y11 - 50)/(1/es2.Y11 + 50)))
3400000                  -0.023609891527650376
3401000                  -0.024169233698793147
3402000                  -0.024902054590754816
3403000                  -0.02471588039827714
3404000                  -0.02407130626351218
3405000                  -0.023791938476227313
3406000                  -0.023788271804840277
3407000                  -0.02394540148578911
3408000                  -0.024073931678953688
3409000                  -0.024162617827892245
3410000                  -0.024358883383004976
3411000                  -0.024764024730010013
3412000                  -0.025281826457512042
3413000                  -0.025530231108803172
3414000                  -0.025572585582207395
3415000                  -0.02549632047643309
3416000                  -0.02546829645709702
3417000                  -0.0255594349140518
3418000                  -0.02542203870021499
3419000                  -0.025289523068133427
3420000                  -0.025290546189926676
3421000                  -0.025372198904342565
3422000                  -0.025492096259625383
3423000                  -0.025657230119101322
3424000                  -0.02587130674841192
3425000                  -0.026116608638363813
3426000                  -0.02639788608817976
3427000                  -0.02681186723807825
3428000                  -0.027472731744821333
3429000                  -0.02836088142452451
3430000                  -0.029707303977277895
3431000                  -0.030389261220227656
3432000                  -0.029650710033021437
3433000                  -0.029009900575549426
3434000                  -0.028825491970997597
3435000                  -0.029166778232675782
3436000                  -0.0299645347259514
3437000                  -0.03114575935101669
3438000                  -0.03126778184579834
3439000                  -0.03030678487970048
3440000                  -0.02994355390994007
3441000                  -0.030206727192229166
3442000                  -0.030497405235029126
3443000                  -0.03085271856041115
3444000                  -0.03160690117728367
3445000                  -0.03321197072285718
3446000                  -0.03565006536898783
3447000                  -0.03606702254609861
3448000                  -0.03386820981009569
3449000                  -0.032036189596507225
3450000                  -0.03128020274256686
3451000                  -0.03120050791189209
3452000                  -0.031249881617562526
3453000                  -0.0312380714910016
3454000                  -0.03154142691519185
3455000                  -0.03183358639126968
3456000                  -0.03181497490602419
3457000                  -0.032096679556206834
3458000                  -0.032846886805641996
3459000                  -0.03354711194234277
3460000                  -0.03334312379066102
3461000                  -0.03337152136272434
3462000                  -0.03387600638725697
3463000                  -0.034643831095160685
3464000                  -0.03531443389447951
3465000                  -0.03564806590669356
3466000                  -0.03622706583693075
3467000                  -0.036060720279277876
3468000                  -0.03537432663137963
3469000                  -0.03514742139250156
3470000                  -0.0353455146100054
3471000                  -0.03631846758017005
3472000                  -0.03809399084084948
3473000                  -0.038752388381821205
3474000                  -0.03827481320122335
3475000                  -0.03810369248241906
3476000                  -0.03731512917696375
3477000                  -0.036960214542878136
3478000                  -0.036956258929830954
3479000                  -0.03726218764890103
3480000                  -0.03739305547064897
3481000                  -0.037484341414154534
3482000                  -0.03798763871341804
3483000                  -0.0386679658432993
3484000                  -0.039405397054711855
3485000                  -0.040055334116889316
3486000                  -0.04073949127909277
3487000                  -0.04026832811139944
3488000                  -0.03968020428153923
3489000                  -0.03984226714164622
3490000                  -0.04011064254058804
3491000                  -0.040382227190352976
3492000                  -0.04136221495834545
3493000                  -0.042357101263604806
3494000                  -0.04177245473474754
3495000                  -0.04100826824649145
3496000                  -0.040453183267075685
3497000                  -0.040111534540204434
3498000                  -0.04014960896149846
3499000                  -0.04043359788730719
3500000                  -0.04061970713064955
3501000                  -0.04072713551023451
3502000                  -0.04095962868462652
3503000                  -0.04135056138766546
3504000                  -0.04198822556432019
3505000                  -0.04310289721471038
3506000                  -0.04505085513123821
3507000                  -0.046928623863301044
3508000                  -0.046203173887906825
3509000                  -0.044894553110384525
3510000                  -0.04464054101583527
3511000                  -0.04530002802236334
3512000                  -0.045777303957835545
3513000                  -0.04511254538395368
3514000                  -0.04463882634635938
3515000                  -0.044590402411213086
3516000                  -0.04479615041449065
3517000                  -0.04513583828980975
3518000                  -0.04549643498020789
3519000                  -0.0460199609625064
3520000                  -0.04686602960666881
3521000                  -0.04803512078791411
3522000                  -0.049440303006418676
3523000                  -0.050429028967020034
3524000                  -0.049819088851188915
3525000                  -0.04919853525919539
3526000                  -0.049336449455301794
3527000                  -0.05033268757593479
3528000                  -0.05143500517043356
3529000                  -0.05097501421338928
3530000                  -0.05044179936581236
3531000                  -0.05065921573079771
3532000                  -0.051251663497861664
3533000                  -0.051250978725930665
3534000                  -0.05112099472742199
3535000                  -0.05131085651126342
3536000                  -0.051678642422717073
3537000                  -0.052320381205406705
3538000                  -0.053205653899727305
3539000                  -0.05394021972657159
3540000                  -0.05406322169435984
3541000                  -0.054091062349888135
3542000                  -0.05428803279248529
3543000                  -0.05489744242171718
3544000                  -0.05597178973750393
3545000                  -0.05671826310817735
3546000                  -0.05697132106500895
3547000                  -0.05728758313932064
3548000                  -0.057181534835123685
3549000                  -0.057249859831610864
3550000                  -0.05774224816120199
3551000                  -0.05871027735405345
3552000                  -0.06013761558258537
3553000                  -0.06146549655445293
3554000                  -0.06205360369544646
3555000                  -0.06151716657610776
3556000                  -0.061503647556954
3557000                  -0.06229760545089682
3558000                  -0.0639313066893584
3559000                  -0.06621773688741925
3560000                  -0.0672001581039567
3561000                  -0.06795880422333285
3562000                  -0.06841572911320672
3563000                  -0.06842457150441456
3564000                  -0.06936884354637675
3565000                  -0.06979935651248009
3566000                  -0.07062992038749409
3567000                  -0.07282577127375442
3568000                  -0.07663340574340897
3569000                  -0.07765330838196625
3570000                  -0.0769925972757039
3571000                  -0.07766462149890742
3572000                  -0.07729560548273418
3573000                  -0.0756081632983442
3574000                  -0.07490127552139023
3575000                  -0.07551907434198052
3576000                  -0.07706441702872507
3577000                  -0.07970694338162644
3578000                  -0.08481286915792959
3579000                  -0.09488351282956416
3580000                  -0.10743106028636963
3581000                  -0.10768492364917429
3582000                  -0.09803369256359669
3583000                  -0.09091165501449133
3584000                  -0.08522422403544068
3585000                  -0.08195648793016388
3586000                  -0.0807717970502628
3587000                  -0.08099371167325409
3588000                  -0.08265069583290677
3589000                  -0.08564619080067455
3590000                  -0.08649129607298386
3591000                  -0.08500551240673346
3592000                  -0.08498044895916357
3593000                  -0.08641852257059977
3594000                  -0.08803456270419444
3595000                  -0.08982597321585088
3596000                  -0.09269531869071168
3597000                  -0.09148259193392697
3598000                  -0.08849816407980297
3599000                  -0.08727499247836229
3600000                  -0.08740060879410137
3601000                  -0.0879918779890114
3602000                  -0.08798618764384648
3603000                  -0.08800376400524286
3604000                  -0.08840053537727115
3605000                  -0.08898722453506769
3606000                  -0.08971378405564784
3607000                  -0.09064218976204823
3608000                  -0.09184564598259695
3609000                  -0.09336103338862105
3610000                  -0.0951931567295166
3611000                  -0.09664553972211404
3612000                  -0.09697640672810542
3613000                  -0.0976796381848771
3614000                  -0.09883062597064418
3615000                  -0.10001866421696964
3616000                  -0.10168062990124832
3617000                  -0.10333338509670709
3618000                  -0.10573431617699434
3619000                  -0.10759835320869159
3620000                  -0.10699638021937871
3621000                  -0.10683914872122666
3622000                  -0.1080805413628659
3623000                  -0.10990242448792598
3624000                  -0.11329776620091318
3625000                  -0.1171851609206541
3626000                  -0.11630784448609745
3627000                  -0.11370261210698963
3628000                  -0.11246323349471529
3629000                  -0.11258395742016912
3630000                  -0.11300696754635467
3631000                  -0.11333898533028434
3632000                  -0.11402018037109019
3633000                  -0.11508636760228856
3634000                  -0.11657160202024987
3635000                  -0.11840361079070437
3636000                  -0.11949654919118148
3637000                  -0.11997774666852686
3638000                  -0.1209111258513576
3639000                  -0.12200696948223642
3640000                  -0.12281108045509437
3641000                  -0.12366855605058917
3642000                  -0.1247847356722333
3643000                  -0.12608388960685835
3644000                  -0.1273761385579474
