% Model:              Fundamental_Focused_Aluminum_Electrodes_300nm_3.76MHz_to_3.78MHz_50Hz_Stepping_Mechanical_Damping_Used_1e-3_1cm_Diam_Electrodes.mph
% Version:            COMSOL 5.0.1.276
% Date:               Feb 17 2021, 11:05
% Table:              Table 7 - Global Evaluation 1 (es2.Y11)
% freq (Hz)              20*log10(abs((1/es2.Y11 - 50)/(1/es2.Y11 + 50)))
3760000                  -0.6096135560524012
3760100                  -0.6151485762669864
3760200                  -0.6208486777854415
3760300                  -0.6267205469829301
3760400                  -0.6327712102232144
3760500                  -0.6390080453388819
3760600                  -0.6454388060451831
3760700                  -0.6520716388275805
3760800                  -0.6589151030910385
3760900                  -0.6659781952118442
3761000                  -0.6732703734476847
3761100                  -0.6808015822580448
3761200                  -0.6885822844238786
3761300                  -0.6966234943980231
3761400                  -0.7049368147162911
3761500                  -0.7135344759837643
3761600                  -0.7224293921913999
3761700                  -0.7316352144286984
3761800                  -0.7411663993000084
3761900                  -0.7510382742067973
3762000                  -0.7612671260841948
3762100                  -0.7718702808820875
3762200                  -0.7828661886432484
3762300                  -0.7942745155516115
3762400                  -0.8061162211165662
3762500                  -0.818413646993888
3762600                  -0.8311905867855491
3762700                  -0.8444723798370656
3762800                  -0.8582859824110634
3762900                  -0.8726600674204363
3763000                  -0.8876251166840555
3763100                  -0.9032135389957472
3763200                  -0.9194597871184927
3763300                  -0.9364004997766874
3763400                  -0.9540746489385223
3763500                  -0.9725236940027965
3763600                  -0.9917917772397742
3763700                  -1.0119258891950054
3763800                  -1.0329760947771143
3763900                  -1.0549957586928733
3764000                  -1.0780418002690444
3764100                  -1.1021749976599506
3764200                  -1.1274603163121633
3764300                  -1.1539673354239166
3764400                  -1.1817706987872258
3764500                  -1.2109506921182949
3764600                  -1.241593903712672
3764700                  -1.2737939657990638
3764800                  -1.3076524086074826
3764900                  -1.3432795831937963
3765000                  -1.380795619390427
3765100                  -1.4203314371017424
3765200                  -1.462029727548271
3765300                  -1.5060459332964524
3765400                  -1.5525492393886204
3765500                  -1.6017235289676945
3765600                  -1.653768448737509
3765700                  -1.7089005464536087
3765800                  -1.7673545810305635
3765900                  -1.8293849681551821
3766000                  -1.8952675567997843
3766100                  -1.9653015241380498
3766200                  -2.039811583462096
3766300                  -2.119150331466701
3766400                  -2.2037008438733188
3766500                  -2.2938792607547183
3766600                  -2.390137529125747
3766700                  -2.4929659615926254
3766800                  -2.602895687071915
3766900                  -2.7205008572395033
3767000                  -2.846400333014234
3767100                  -2.9812587773727324
3767200                  -3.125786789693789
3767300                  -3.2807397789392745
3767400                  -3.4469147631748775
3767500                  -3.62514475998365
3767600                  -3.8162891676866635
3767700                  -4.021219217820891
3767800                  -4.24079615232802
3767900                  -4.475839858152208
3768000                  -4.727084422806797
3768100                  -4.995116201651964
3768200                  -5.280289076367607
3768300                  -5.582609410912646
3768400                  -5.901583342278505
3768500                  -6.2360177219910025
3768600                  -6.583768049103486
3768700                  -6.941432708401441
3768800                  -7.3040060531625075
3768900                  -7.664527946520428
3769000                  -8.013807915204927
3769100                  -8.340356879029597
3769200                  -8.630708489851937
3769300                  -8.870316025621461
3769400                  -9.045111048909515
3769500                  -9.143561437549089
3769600                  -9.158744526611823
3769700                  -9.089747926905138
3769800                  -8.941848618160742
3769900                  -8.72539711306414
3770000                  -8.453858255332593
3770100                  -8.141697812159798
3770200                  -7.802673164374241
3770300                  -7.4487706843135415
3770400                  -7.089753610635791
3770500                  -6.733147674325865
3770600                  -6.384474371123098
3770700                  -6.047585401737052
3770800                  -5.725008066240339
3770900                  -5.418255913378445
3771000                  -5.12808731257817
3771100                  -4.854711673103061
3771200                  -4.597948700657004
3771300                  -4.3573491149166
3771400                  -4.132284881271035
3771500                  -3.9220160036601834
3771600                  -3.725739306191565
3771700                  -3.5426238205044607
3771800                  -3.371835844785627
3771900                  -3.2125566683931677
3772000                  -3.0639943959103193
3772100                  -2.925391811624858
3772200                  -2.7960310444372465
3772300                  -2.675236130458238
3772400                  -2.5623740217111104
3772500                  -2.4568543905862548
3772600                  -2.3581288866522336
3772700                  -2.2656897680137265
3772800                  -2.1790682477105707
3772900                  -2.097832597900827
3773000                  -2.0215860198697797
3773100                  -1.9499644206417788
3773200                  -1.8826340655803357
3773300                  -1.8192891277673253
3773400                  -1.7596492691145047
3773500                  -1.7034572706268694
3773600                  -1.6504767156416997
3773700                  -1.6004899270733648
3773800                  -1.553295947885238
3773900                  -1.5087088379714877
3774000                  -1.4665560494152814
3774100                  -1.4266770590414088
3774200                  -1.3889220936695044
3774300                  -1.3531510632685482
3774400                  -1.319232611624641
3774500                  -1.2870433358908695
3774600                  -1.256467189828967
3774700                  -1.2273950443246282
3774800                  -1.1997244410546468
3774900                  -1.1733594960956193
3775000                  -1.14821096795342
3775100                  -1.1241963985801586
3775200                  -1.1012402491406952
3775300                  -1.0792740057082404
3775400                  -1.0582361077498952
3775500                  -1.0380717037056
3775600                  -1.0187322062818243
3775700                  -1.0001746399316571
3775800                  -0.9823608745605983
3775900                  -0.965256782302911
3776000                  -0.9488314172357298
3776100                  -0.933056266423437
3776200                  -0.9179046277484075
3776300                  -0.9033511206072707
3776400                  -0.8893713420269058
3776500                  -0.8759416433207114
3776600                  -0.8630390015296264
3776700                  -0.8506409671577408
3776800                  -0.8387256587054953
